MIERES;ESCOLES MUNICIPALS;C/ CAN CALÓ (DE) NUM: 60 - MIERES (17830)
MOLLET DE PERALADA;AJUNTAMENT DE MOLLET DE PERALADA (VESTÍBUL);CARRE PLAÇA NUM: 12 - MOLLET DE PERALADA (17752)
MOLLÓ;AJUNTAMENT DE MOLLÓ - SALA DE PLENS (PLANTA 1ª);C/ SANT SEBASTIÀ (DE) NUM: 2 - MOLLÓ (17868)
MONTAGUT I OIX;ESCOLA PUBLICA;AV ESCOLES (DE LES) S/N - MONTAGUT - MONTAGUT I OIX (17855)
MONT-RAS;ESCOLA PÚBLICA TORRES JONAMA;CARRE TORRES JONAMA NUM: 9 - MONT-RAS (17253)
MUNICIPI;LOCALS EN QUE SE CELEBRA LA VOTACIÓ;DIRECCIÓ
NAVATA;DISPENSARI MUNICIPAL;C/ ESCOLES NUM: 12 - NAVATA (17744)
OGASSA;ESCOLA PUBLICA “L’ESQUIROL”;AV MINES NUM: 13 - OGASSA (17861)
OLOT;CASAL A.V. SANT MIQUEL;CIRCU REI JAUME I CONQUERIDOR, DEL NUM: 31 - OLOT (17800)
OLOT;CASAL LES FONTS;C VOLCÀ MONTCAL, DEL NUM: 13 - ST CRISTOFOL LES FONTS - OLOT (17800)
OLOT;CASAL MARIA;PG BISBE GUILLAMET, DEL NUM: 7 - OLOT (17800)
OLOT;COL.LEGI COR DE MARIA;C ESGLEIERS NUM: 1 - OLOT (17800)
OLOT;EDIFICI ESTACIÓ;AV ESTACIÓ, DE L’ NUM: 13 - OLOT (17800)
OLOT;ESCOLA BELLES ARTS;C PARE ANTONI SOLER, DEL NUM: 3 - OLOT (17800)
OLOT;ESCOLA BISAROQUES;C PARE NOLASC DEL MOLAR, DEL NUM: 6 - ST CRISTOFOL LES FONTS - OLOT (17800)
