MUNICIPI;LOCALS EN QUE SE CELEBRA LA VOTACIÓ;DIRECCIÓ
ULLASTRELL;COL.LEGI PUBLIC SERRALAVELLA;PL ESCOLES (LES) NUM: 1,08231 ULLASTRELL
VACARISSES;CEIP PAU CASALS;C SALVADOR BADIA S/N,08233 VACARISSES
VACARISSES;CEIP FONT DE L'ORPINA;C MARGARIDES NUM: 12,CAN SERRA ESTACIO CAN SERRA 08233 VACARISSES
VALLBONA D'ANOIA;CASAL POLIVALENT;C MAJOR NUM: 110,08785 VALLBONA D'ANOIA
VALLCEBRE;ESCOLA PUBLICA SERRAT VOLTOR;PL AYUNTAMIENTO S/N,08699 VALLCEBRE
VALLGORGUINA;CASA CONSISTORIAL;PL VILA NUM: 4,08470 VALLGORGUINA
VALLGORGUINA;LOCAL SOC. DE L'ASSOCIACIO VEINS DE CANADA PARK;URB CANADÀ PARK S/N,CANADÀ PARK 08470 VALLGORGUINA
VALLIRANA;CEIP POMPEU FABRA;AV PARELLADA NUM: 5,CENTRE 08759 VALLIRANA
VALLIRANA;LOCAL SOCIAL PLA DEL PELAC;C CANARIES NUM: 8,PLA DEL PELAC 08759 VALLIRANA
VALLIRANA;CEIP CAMPDERRÓS;C QUIXOT NUM: 1,SELVA NEGRA CATALANA 08759 VALLIRANA
VALLIRANA;RESTAURANTE EL LLEDONER;C RIU ANOIA NUM: 1,LLEDONER (EL) 08759 VALLIRANA
VALLROMANES;ESCOLA TRES PINS DE VALLROMANES;PG MAS MORERA NUM: 1,CASC URBÀ 08188 VALLROMANES
VECIANA;SALA D'ACTES DE L'AJUNTAMENT;PL SANT MIQUEL (DE) S/N,08289 VECIANA
VIC;PALAU BOJONS;PL DON MIQUEL CLARIANA NUM: 3,08500 VIC
VIC;CEIP GUILLEM DE MONTRODON;C SANT MIQUEL XIC NUM: 2,08500 VIC
VIC;ESCOLA ESTEL (ST. MIQUEL DELS SANTS);C JAUME I EL CONQUERIDOR NUM: 19,08500 VIC
VIC;CEIP GUILLEM DE MONTRODON;C SANT MIQUEL XIC NUM: 2,08500 VIC
VIC;ESCOLA ESTEL (ST. MIQUEL DELS SANTS);C JAUME I EL CONQUERIDOR NUM: 19,08500 VIC
VIC;CEIP VIC CENTRE;C JOAN PAU II NUM: 3,08500 VIC
VIC;ESCOLA PUBLICA DEL DR.SALARICH;AV RAFAEL CASANOVA NUM: 25,08500 VIC
VIC;EDIFICI EL SUCRE;C HISTORIADOR RAMON D'ABADA NUM: 5,08500 VIC
VIC;ESCOLA PUBLICA DEL DR.SALARICH;AV RAFAEL CASANOVA NUM: 25,08500 VIC
VIC;CEIP VIC CENTRE;C JOAN PAU II NUM: 3,08500 VIC
VIC;ESCOLA ESTEL (ST. MIQUEL DELS SANTS);C JAUME I EL CONQUERIDOR NUM: 19,08500 VIC
VIC;AS. MN. JOSEP GUITERAS;C SOLEDAT NUM: 13,08500 VIC
VIC;ESCOLA PUBLICA DEL DR.SALARICH;AV RAFAEL CASANOVA NUM: 25,08500 VIC
VIC;AS. MN. JOSEP GUITERAS;C SOLEDAT NUM: 13,08500 VIC
VIC;C.E.I.P. SENTFORES;C PLA DEL MASET NUM: 5,08519 VIC
VILADA;LOCAL SOCIAL;PL VILA NUM: 11,08613 VILADA
VILADECAVALLS;BIBLIOTECA PERE CALDERS;C PAU CLARIS S/N,08232 VILADECAVALLS
VILADECAVALLS;CENTRE CIVIC PACO CANO;C PINTOR CASAS NUM: 6,CAN TRIAS 08232 VILADECAVALLS
VILADECAVALLS;LOCAL SOCIAL SANT MIQUEL DE GUANTERES;C MITJANS NUM: 22,SANT MIQUEL DE GUANTERES 08232 VILADECAVALLS
VILADECAVALLS;LOCAL SOCIAL DE CARENES DE CAN TURU;PL CARENES CAN TURU S/N,CAN TURU 08232 VILADECAVALLS
VILADECAVALLS;CENTRE CIVIC PACO CANO;C PINTOR CASAS NUM: 6,CAN TRIAS 08232 VILADECAVALLS
VILADECAVALLS;LOCAL SOCIAL LA PLANASSA;C BARCELONA S/N,PLANASSA (LA) 08232 VILADECAVALLS
VILADECANS;CUBIC;PG MARINA NUM: 37,08840 VILADECANS
VILADECANS;ESCOLA ANGELA ROCA II;C M D SALES NUM: 2,08840 VILADECANS
VILADECANS;CUBIC;PG MARINA NUM: 37,08840 VILADECANS
VILADECANS;ÀREES D'ALCALDIA, MEDI AMBIENT I SOSTENIBILITAT;C MAJOR NUM: 41,08840 VILADECANS
VILADECANS;ESCOLA EL GARROFER;C DOS DE MAIG NUM: 39,08840 VILADECANS
VILADECANS;ESCOLA DOCTOR TRUETA;C AMPOSTA-CASÉ NUM: 2,08840 VILADECANS
VILADECANS;CUBIC;PG MARINA NUM: 37,08840 VILADECANS
VILADECANS;ESCOLA EL GARROFER;C DOS DE MAIG NUM: 39,08840 VILADECANS
VILADECANS;CUBIC;PG MARINA NUM: 37,08840 VILADECANS
VILADECANS;ESCOLA ENXANETA;C REMOLAR NUM: 3,08840 VILADECANS
VILADECANS;ESCOLA CAN PALMER;C MARGARIDA XIRGU NUM: 3 B,08840 VILADECANS
VILADECANS;ESCOLA EL GARROFER (EDIFICI EDUCACIÓ INFANTIL);C DOS DE MAIG NUM: 39,08840 VILADECANS
VILADECANS;CASAL DE BARRI D'ALBA-ROSA;C TULIPA NUM: 3,08840 VILADECANS
VILADECANS;CASAL DE BARRI MONTSERRATINA;PL CONSTITUCIÓ NUM: 4,08840 VILADECANS
VILADECANS;ESCOLA MONTSERRATINA;C GARROFER NUM: 69,08840 VILADECANS
VILADECANS;CASAL DE BARRI MONTSERRATINA;PL CONSTITUCIÓ NUM: 4,08840 VILADECANS
VILADECANS;ESCOLA ANGELA ROCA II;C M D SALES NUM: 2,08840 VILADECANS
VILADECANS;ESCOLA GERMANS AMAT TARGA;AV ROUREDA NUM: 12,08840 VILADECANS
VILADECANS;CASAL DE BARRI MONTSERRATINA;PL CONSTITUCIÓ NUM: 4,08840 VILADECANS
VILADECANS;ESCOLA MIQUEL MARTÍ I POL;AV JOCS OLÍMPICS NUM: 7,08840 VILADECANS
VILADECANS;ESCOLA ENXANETA;C REMOLAR NUM: 3,08840 VILADECANS
VILADECANS;ESCOLA EL GARROFER (EDIFICI EDUCACIÓ INFANTIL);C DOS DE MAIG NUM: 39,08840 VILADECANS
VILADECANS;CASAL DE BARRI D'ALBA-ROSA;C TULIPA NUM: 3,08840 VILADECANS
VILADECANS;ESCOLA MIQUEL MARTÍ I POL;AV JOCS OLÍMPICS NUM: 7,08840 VILADECANS
VILADECANS;ESCOLA ENXANETA;C REMOLAR NUM: 3,08840 VILADECANS
VILADECANS;ESCOLA CAN PALMER;C MARGARIDA XIRGU NUM: 3 B,08840 VILADECANS
VILADECANS;CASAL DE BARRI MONTSERRATINA;PL CONSTITUCIÓ NUM: 4,08840 VILADECANS
VILADECANS;ESCOLA EL GARROFER;C DOS DE MAIG NUM: 39,08840 VILADECANS
VILADECANS;CASAL DE BARRI D'ALBA-ROSA;C TULIPA NUM: 3,08840 VILADECANS
VILADECANS;ESCOLA MONTSERRATINA;C GARROFER NUM: 69,08840 VILADECANS
VILADECANS;ESCOLA GERMANS AMAT TARGA;AV ROUREDA NUM: 12,08840 VILADECANS
VILADECANS;ESCOLA MONTSERRATINA;C GARROFER NUM: 69,08840 VILADECANS
VILADECANS;ESCOLA GERMANS AMAT TARGA;AV ROUREDA NUM: 12,08840 VILADECANS
VILADECANS;ESCOLA MIQUEL MARTÍ I POL;AV JOCS OLÍMPICS NUM: 7,08840 VILADECANS
VILADECANS;ESCOLA MARTA MATA;C CAN TRIES NUM: 2,08840 VILADECANS
VILANOVA DEL CAMÍ;CENTRE OBERT;C ALFONS XIII (D') NUM: 3,08788 VILANOVA DEL CAMÍ
VILANOVA DEL CAMÍ;ESCOLA MARTA MATA;C COMTES DE CARDONA (DELS) NUM: 2,08788 VILANOVA DEL CAMÍ
VILANOVA DEL CAMÍ;ESCOLA POMPEU FABRA;C FRAI JUNÍPER SERRA (DE) NUM: 2,08788 VILANOVA DEL CAMÍ
VILANOVA DEL CAMÍ;CASAL DE LA GENT GRAN;C SANT JOSEP (DE) NUM: 36,08788 VILANOVA DEL CAMÍ
VILANOVA DEL CAMÍ;ESCOLA JOAN MARAGALL;C SANTA LLÚCIA (DE) NUM: 101,08788 VILANOVA DEL CAMÍ
VILANOVA DEL CAMÍ;CENTRE CIVIC BARRI DE LA PAU;C VERGE DEL CAP (DE LA) NUM: 26,08788 VILANOVA DEL CAMÍ
VILANOVA DEL CAMÍ;LLAR D'INFANTS EL MOLINET;C MOLÍ (DEL) NUM: 20,08788 VILANOVA DEL CAMÍ
VILANOVA DE SAU;CASA CONSISTORIAL;PG JACINT VERDAGUER S/N,08519 VILANOVA DE SAU
VILOBÍ DEL PENEDÈS;SALA D'ACTES DE L'AJUNTAMENT;PL VILA S/N,08735 VILOBÍ DEL PENEDÈS
VILAFRANCA DEL PENEDÈS;BIBLIOTECA TORRAS I BAGES;PL OLI (L') NUM: 20,08720 VILAFRANCA DEL PENEDÈS
VILAFRANCA DEL PENEDÈS;L'ESCORXADOR MUNICIPAL;C ESCORXADOR (L') NUM: 19,08720 VILAFRANCA DEL PENEDÈS
VILAFRANCA DEL PENEDÈS;BIBLIOTECA TORRAS I BAGES;PL OLI (L') NUM: 20,08720 VILAFRANCA DEL PENEDÈS
VILAFRANCA DEL PENEDÈS;LOCAL MUNICIPAL;PL DOCTOR BONET NUM: 8,08720 VILAFRANCA DEL PENEDÈS
VILAFRANCA DEL PENEDÈS;ASSOCIACIÓ DE VEÏNS LA BARCELONETA SANT MAGÍ;C MANUEL BARBA I ROCA NUM: 8,08720 VILAFRANCA DEL PENEDÈS
VILAFRANCA DEL PENEDÈS;ESCOLA PAU BOADA;C ESPIRALL NUM: 43,08720 VILAFRANCA DEL PENEDÈS
VILAFRANCA DEL PENEDÈS;LLAR D'INFANTS L'ANXANETA;PL FELIX MESTRE NUTO NUM: 2,08720 VILAFRANCA DEL PENEDÈS
VILAFRANCA DEL PENEDÈS;SALA D'EXPOSICIONS TRINITARIS;C FONT (LA) NUM: 43,08720 VILAFRANCA DEL PENEDÈS
VILAFRANCA DEL PENEDÈS;ESCOLA PAU BOADA;C ESPIRALL NUM: 43,08720 VILAFRANCA DEL PENEDÈS
VILAFRANCA DEL PENEDÈS;ESCOLA DR BALTA ELIES;C FRANCESC DE PAULA BOVE NUM: 1,08720 VILAFRANCA DEL PENEDÈS
VILAFRANCA DEL PENEDÈS;CLAUSTRE DE SANT FRANCESC;C SANT PERE NUM: 3,08720 VILAFRANCA DEL PENEDÈS
VILAFRANCA DEL PENEDÈS;ESCOLA DR BALTA ELIES;C FRANCESC DE PAULA BOVE NUM: 1,08720 VILAFRANCA DEL PENEDÈS
VILAFRANCA DEL PENEDÈS;LLAR D'INFANTS LOLA ANGLADA;C AMALIA SOLER NUM: 142,08720 VILAFRANCA DEL PENEDÈS
VILAFRANCA DEL PENEDÈS;EDIFICI DE L'ANTIGA ENOLÒGICA;C AMALIA SOLER NUM: 29,08720 VILAFRANCA DEL PENEDÈS
VILAFRANCA DEL PENEDÈS;ESCOLA CRISTOFOR MESTRE;C J.V. FOIX NUM: 8,08720 VILAFRANCA DEL PENEDÈS
VILAFRANCA DEL PENEDÈS;ARXIU HISTORIC;AV EUROPA NUM: 6,08720 VILAFRANCA DEL PENEDÈS
VILAFRANCA DEL PENEDÈS;ATENEU MUNICIPAL;PL PENEDES NUM: 4,08720 VILAFRANCA DEL PENEDÈS
VILAFRANCA DEL PENEDÈS;ESCOLA CRISTOFOR MESTRE;C J.V. FOIX NUM: 8,08720 VILAFRANCA DEL PENEDÈS
VILAFRANCA DEL PENEDÈS;ESCOLA DOLORS PIERA;AV EUROPA NUM: 28,08720 VILAFRANCA DEL PENEDÈS
VILALBA SASSERRA;SALA DE PLENS DE L'AJUNTAMENT;PL VILA (DE LA) NUM: 1,08455 VILALBA SASSERRA
VILANOVA I LA GELTRÚ;INSTITUT MANUEL DE CABANYES;AV FRANCESC MACIA NUM: 110,08800 VILANOVA I LA GELTRÚ
VILANOVA I LA GELTRÚ;ESCOLA POMPEU FABRA;RBLA SALVADOR SAMA NUM: 66,08800 VILANOVA I LA GELTRÚ
VILANOVA I LA GELTRÚ;BIBLIOTECA JOAN OLIVA;PLAÇA VILA NUM: 13,08800 VILANOVA I LA GELTRÚ
VILANOVA I LA GELTRÚ;IMET (ANTIC CFO LA PAPERERA);CARRE UNIO NUM: 81,08800 VILANOVA I LA GELTRÚ
VILANOVA I LA GELTRÚ;CENTRE CÍVIC LA GELTRÚ;PLAÇA ASSOCIACIO ALUMNES OBRERS NUM: 1,08800 VILANOVA I LA GELTRÚ
VILANOVA I LA GELTRÚ;IMET (ANTIC CFO LA PAPERERA);CARRE UNIO NUM: 81,08800 VILANOVA I LA GELTRÚ
VILANOVA I LA GELTRÚ;ESCOLA L'ARAGAI;CARRE DOCTOR ZAMENHOF NUM: 20,08800 VILANOVA I LA GELTRÚ
