COD.MUN|MUNICIPI|DTE.|SECCIÓ|SUB.|MESA|COMPREN ELS ELECTORS|LOCALS EN QUE SE CELEBRA LA VOTACIÓ|DIRECCIÓ
25134|LLEIDA|01|010||B|L Z|C.E.I.P- TERRES DE PONENT|AVGDA SANT PERE, 54
25132|LLEIDA|01|011||A|A L|INSTITUT E.SPARDINYES JOSEP LLADONOSA|PLAÇA MARIA RUBIES I GARROFE, 1
25132|LLEIDA|01|011||B|M Z|INSTITUT E.SPARDINYES JOSEP LLADONOSA|PLAÇA MARIA RUBIES I GARROFE, 1
25127|LLEIDA|01|012||U|A Z|EDIFICI ANTIC DE L'AUDIENCIA|CARRER FERRAN RAMBLA, 13
25133|LLEIDA|01|013||A|A K|C.E.I.P- RIU SEGRE|AVGDA TORTOSA, 86
25133|LLEIDA|01|013||B|L Z|C.E.I.P- RIU SEGRE|AVGDA TORTOSA, 86
25131|LLEIDA|01|014||A|A K|C.E.I.P- PARDINYES|CARRER ANASTASI PINOS, 33
25131|LLEIDA|01|014||B|L Z|C.E.I.P- PARDINYES|CARRER ANASTASI PINOS, 33
25135|LLEIDA|02|002||A|A K|CENTRE FORMACIO D'ADULTS SEGRIA|CARRER SANTA CECILIA, 1
25135|LLEIDA|02|002||B|L Z|CENTRE FORMACIO D'ADULTS SEGRIA|CARRER SANTA CECILIA, 1
25135|LLEIDA|02|003||U|A Z|CENTRE FORMACIO D'ADULTS SEGRIA|CARRER SANTA CECILIA, 1
25135|LLEIDA|02|004||A|A K|CENTRE FORMACIO D'ADULTS SEGRIA|CARRER SANTA CECILIA, 1
25135|LLEIDA|02|004||B|L Z|CENTRE FORMACIO D'ADULTS SEGRIA|CARRER SANTA CECILIA, 1
25136|LLEIDA|02|005||A|A K|C.E.I.P- FREDERIC GODAS|CARRER RIU BESOS, 5
25136|LLEIDA|02|005||B|L Z|C.E.I.P- FREDERIC GODAS|CARRER RIU BESOS, 5
25136|LLEIDA|02|006||U|A Z|C.E.I.P- FREDERIC GODAS|CARRER RIU BESOS, 5
25136|LLEIDA|02|007||A|A K|C.E.I.P- FREDERIC GODAS|CARRER RIU BESOS, 5
25136|LLEIDA|02|007||B|L Z|C.E.I.P- FREDERIC GODAS|CARRER RIU BESOS, 5
25136|LLEIDA|02|008||U|A Z|C.E.I.P- FREDERIC GODAS|CARRER RIU BESOS, 5
25136|LLEIDA|02|009||A|A K|C.E.I.P- FREDERIC GODAS|CARRER RIU BESOS, 5
25136|LLEIDA|02|009||B|L Z|C.E.I.P- FREDERIC GODAS|CARRER RIU BESOS, 5
25137|LLEIDA|03|001||U|A Z|CENTRE CIVIC DE L'ERETA|PLAÇA ERETA, 1
25138|LLEIDA|03|003||U|A Z|INSTITUT D'ESTUDIS ILERDENCS|PLAÇA CATEDRAL, 1
25139|LLEIDA|03|004||A|A L|COL·LEGI GERMANS MARISTES|AVGDA CATALUNYA, 3
